org,name,position,date,district
Colorado DA Rubinstein,Gordon P. Gallagher,united states district judge for the district of colorado,"Tuesday, December 13, 2022", district of colorado
Former MCBA Presidents And Attorneys,Gordon P. Gallagher,united states district judge for the district of colorado,"Tuesday, December 13, 2022", district of colorado
Former CO US Attorneys,Gordon P. Gallagher,united states district judge for the district of colorado,"Tuesday, December 13, 2022", district of colorado
Grand Junction Legal Community,Gordon P. Gallagher,united states district judge for the district of colorado,"Tuesday, December 13, 2022", district of colorado
HAP And Mesa County Libraries,Gordon P. Gallagher,united states district judge for the district of colorado,"Tuesday, December 13, 2022", district of colorado
Mesa County DAs And Sheriffs,Gordon P. Gallagher,united states district judge for the district of colorado,"Tuesday, December 13, 2022", district of colorado
Riverside Educational Center,Gordon P. Gallagher,united states district judge for the district of colorado,"Tuesday, December 13, 2022", district of colorado
Ute Mountain Ute Tribe,Gordon P. Gallagher,united states district judge for the district of colorado,"Tuesday, December 13, 2022", district of colorado
Western CO Attorneys,Gordon P. Gallagher,united states district judge for the district of colorado,"Tuesday, December 13, 2022", district of colorado
Former AAG Eric Dreiband,P. Casey Pitts,united states district judge for the northern district of california,"Tuesday, December 13, 2022", northern district of california
Stephen Cannon,P. Casey Pitts,united states district judge for the northern district of california,"Tuesday, December 13, 2022", northern district of california
National Education Association,P. Casey Pitts,united states district judge for the northern district of california,"Tuesday, December 13, 2022", northern district of california
William Baude,P. Casey Pitts,united states district judge for the northern district of california,"Tuesday, December 13, 2022", northern district of california
FCC Deputy GC Boizelle,P. Casey Pitts,united states district judge for the northern district of california,"Tuesday, December 13, 2022", northern district of california
Major General Mark Malanka,Andrew G. Schopler,united states district judge for the southern district of california,"Tuesday, December 13, 2022", southern district of california
Judge Irma Gonzalez,Andrew G. Schopler,united states district judge for the southern district of california,"Tuesday, December 13, 2022", southern district of california
Former Law Clerks,Andrew G. Schopler,united states district judge for the southern district of california,"Tuesday, December 13, 2022", southern district of california
Harvard Law School Classmates,Andrew G. Schopler,united states district judge for the southern district of california,"Tuesday, December 13, 2022", southern district of california
Former SCOTUS Clerks,Arun Subramanian,united states district judge for the southern district of new york,"Tuesday, December 13, 2022", southern district of new york
SABANY/AABANY/SABANA,Arun Subramanian,united states district judge for the southern district of new york,"Tuesday, December 13, 2022", southern district of new york
Colleagues At Susman Godfrey,Arun Subramanian,united states district judge for the southern district of new york,"Tuesday, December 13, 2022", southern district of new york
Columbia Law Review Board,Arun Subramanian,united states district judge for the southern district of new york,"Tuesday, December 13, 2022", southern district of new york
Co-Counsel Eric Havian,Arun Subramanian,united states district judge for the southern district of new york,"Tuesday, December 13, 2022", southern district of new york
Columbia Law Review,Arun Subramanian,united states district judge for the southern district of new york,"Tuesday, December 13, 2022", southern district of new york
Assistant USA And Retired Navy JAG,Jonathan James Canada Grey,united states district judge for the eastern district of michigan,"Wednesday, November 30, 2022", eastern district of michigan
DEA Assistant Special Agent,Jonathan James Canada Grey,united states district judge for the eastern district of michigan,"Wednesday, November 30, 2022", eastern district of michigan
Former USA Barbara McQuade,Jonathan James Canada Grey,united states district judge for the eastern district of michigan,"Wednesday, November 30, 2022", eastern district of michigan
Former USA David DeVillers,Jonathan James Canada Grey,united states district judge for the eastern district of michigan,"Wednesday, November 30, 2022", eastern district of michigan
Retired DHS Special Agent,Jonathan James Canada Grey,united states district judge for the eastern district of michigan,"Wednesday, November 30, 2022", eastern district of michigan
Current And Former MA AGs,Julia E. Kobick,united states district judge for the district of massachusetts,"Wednesday, November 30, 2022", district of massachusetts
Justice Ginsburg Co-Clerks,Julia E. Kobick,united states district judge for the district of massachusetts,"Wednesday, November 30, 2022", district of massachusetts
MA Trial And Appellate Judges,Julia E. Kobick,united states district judge for the district of massachusetts,"Wednesday, November 30, 2022", district of massachusetts
Opposing Counsel,Julia E. Kobick,united states district judge for the district of massachusetts,"Wednesday, November 30, 2022", district of massachusetts
MA Lawyers And Legal Scholars,Julia E. Kobick,united states district judge for the district of massachusetts,"Wednesday, November 30, 2022", district of massachusetts
Former Senior Legal Counsels To Gov. Baker,Julia E. Kobick,united states district judge for the district of massachusetts,"Wednesday, November 30, 2022", district of massachusetts
Judge Bruce Chan,Rita F. Lin,united states district judge for the northern district of california,"Wednesday, November 30, 2022", northern district of california
CA APABA,Rita F. Lin,united states district judge for the northern district of california,"Wednesday, November 30, 2022", northern district of california
Former NDCA USAs,Rita F. Lin,united states district judge for the northern district of california,"Wednesday, November 30, 2022", northern district of california
San Francisco Superior Court Judges,Rita F. Lin,united states district judge for the northern district of california,"Wednesday, November 30, 2022", northern district of california
AJF,Rita F. Lin,united states district judge for the northern district of california,"Wednesday, November 30, 2022", northern district of california
Richmond VA Lawyers,Robert Stewart Ballou,united states district judge for the western district of virginia,"Tuesday, November 15, 2022", western district of virginia
VA Construction Attorneys,Robert Stewart Ballou,united states district judge for the western district of virginia,"Tuesday, November 15, 2022", western district of virginia
Roanoke VA Lawyers,Robert Stewart Ballou,united states district judge for the western district of virginia,"Tuesday, November 15, 2022", western district of virginia
Former USAs For WD-VA,Robert Stewart Ballou,united states district judge for the western district of virginia,"Tuesday, November 15, 2022", western district of virginia
